feature_class,made_by
Park,man
School,man
Valley,nature
Spring,nature
Tunnel,man
Stream,nature
Gut,nature
Bar,man
Canal,man
Cape,nature
Lake,nature
Mine,man
Locale,man
Summit,nature
Plain,nature
Building,man
Cemetery,man
Civil,man
Populated Place,man
Flat,nature
Woods,nature
Gap,nature
Ridge,nature
Dam,man
Bay,nature
Beach,nature
Hospital,man
Channel,nature
Slope,nature
Island,nature
Basin,nature
Reservoir,man
Pillar,nature
Trail,man
Cliff,nature
Swamp,nature
Arch,nature
Area,nature
Bend,nature
Well,man
Reserve,man
Range,nature
Harbor,man
Bench,nature
Falls,nature
Forest,nature
Lava,nature
Church,man
Rapids,nature
Levee,man
Military,man
Crater,nature
Glacier,nature
Oilfield,man
Bridge,man
Post Office,man
Sea,nature
Tower,man
Isthmus,nature
Airport,man
Crossing,man
Arroyo,nature
Census,man